	x	y	theta	v	a	sigma	omega	t
0	-29.399999618530273	129.60000610351562	-3.1415921209575752	0.0	-1.0000000001118943	1.4037150300232206	0.0	0.0
1	-29.397934301721794	129.60000285330443	-3.149409779140654	-0.06426207672602471	-0.9995065604775553	1.4037150300232206	-0.9547506007170309	0.0642726486240472
2	-29.39174042013073	129.59995443396812	-3.1616546810411217	-0.1284607345407734	-0.9980267285398836	1.342350680139737	-0.617965977486556	0.1285452972480944
3	-29.38142482595195	129.59974745446507	-3.1794102848477297	-0.19253261711977884	-0.9955619647143397	1.3026323700071276	-0.5573214434688589	0.19281794587214163
4	-29.36700161685153	129.59920174268282	-3.2019273354916176	-0.2564144932504257	-0.9921147014252447	1.2668118447004069	-0.6145154219235754	0.2570905944961888
5	-29.348496097693538	129.59808386127688	-3.22819454807592	-0.3200433192335234	-0.9876883407052721	1.2273153109130548	-0.7606128296311724	0.321363243120236
6	-29.325948951748973	129.5961263395429	-3.2569510886215562	-0.38335630109982605	-0.9822872508380515	1.1784287097752282	-1.009691053167708	0.3856358917442832
7	-29.29941891095852	129.5930522271223	-3.286721291157506	-0.44629095658009854	-0.9759167620472006	1.113533191496136	-1.4108255783325085	0.4499085403683304
8	-29.268982181179314	129.5886037100223	-3.315869356493695	-0.508785176767573	-0.9685831612360375	1.0228556948301524	-2.064818112254525	0.5141811889923776
9	-29.23472738047879	129.58257271375768	-3.3426613393780436	-0.570777287411941	-0.9602936857831671	0.8901443658286488	-3.1479045207975647	0.5784538376164249
10	-29.196745752208738	129.57483118902763	-3.3653138926558444	-0.6322061097843927	-0.9510565164000608	0.687820204661377	-4.821842373151473	0.6427264862404721
11	-29.155117615925352	129.5653595385228	-3.382007745360799	-0.6930110210536368	-0.9408807690576833	0.3779076240912704	-6.5727349039999075	0.7069991348645194
12	-29.109896988029067	129.55427339872884	-3.3908490090964847	-0.7531320141133139	-0.9297764859901289	-0.04453945689252657	-6.682055608232316	0.7712717834885666
13	-29.061096802734436	129.54185131440622	-3.3897703119257008	-0.8125097568017681	-0.917754625784149	-0.4740128690867865	-4.31532369008562	0.8355444321126139
14	-29.008677422456806	129.5285681561923	-3.3763746885556825	-0.8710856504557258	-0.9048270525643508	-0.7513701523186865	8.135288943202955	0.8998170807366611
15	-28.95254192004727	129.51514092258628	-3.350224316984347	-0.928801887740102	-0.8910065242847377	-0.22849358461710634	4.589798510022372	0.9640897293607084
16	-28.892950287659115	129.50252463740674	-3.3432829529326593	-0.985601509696861	-0.8763066801381496	0.06650492227273666	0.3627470207880304	1.0283623779847555
17	-28.829124161595818	129.48947408411019	-3.3453925149357118	-1.0414284619566312	-0.8607420270960258	0.0898196340792657	0.37745626418485273	1.0926350266088027
18	-28.761843701097536	129.47556929142527	-3.3484066799804264	-1.0962276500576005	-0.844327925591776	0.11407974791816429	0.39111473862487117	1.15690767523285
19	-28.691191738320583	129.46074552178405	-3.3524430897187494	-1.149944993817097	-0.8270805743618872	0.1392177280854867	0.40348092418387865	1.2211803238568972
20	-28.61725861715815	129.44492149187792	-3.3576213793705465	-1.2025274807022024	-0.8090169944597256	0.165150515752063	0.2082955477936009	1.2854529724809445
21	-28.54014280332775	129.42799817674998	-3.3640622545718313	-1.2539232181467201	-0.7901550124578128	0.17853822230535454	-0.5216957832196498	1.3497256211049917
22	-28.45995161936139	129.4098578119009	-3.371334147781885	-1.304081484762873	-0.7705132428551507	0.14500745254183087	0.007811709471778332	1.413998269729039
23	-28.376816394194318	129.39041491851765	-3.3774541315538613	-1.3529527803971908	-0.7501110697069578	0.14550953179986362	0.0810665670801766	1.4782709183530862
24	-28.29077235975308	129.3697355467597	-3.3838257627066675	-1.4004888749811837	-0.7289686274949484	0.15071989478096556	0.08321752746393106	1.5425435669771335
25	-28.201936669914076	129.3477855943301	-3.390660983352601	-1.446642856128598	-0.7071067812570279	0.1560685056830168	0.0928356019411387	1.6068162156011807
26	-28.11041990752403	129.32450832940006	-3.3979760631918077	-1.4913691754322778	-0.6845471059960213	0.16203529570638153	0.1382548791650394	1.671088864225228
27	-28.01633755026054	129.2998443835676	-3.4058106358461857	-1.5346236934149424	-0.6613118653877492	0.17092130297551622	-0.16513092162126558	1.7353615128492752
28	-27.91982981415429	129.27373487951436	-3.414323045902438	-1.5763637230895235	-0.6374239898094681	0.16030790127318753	-0.25178748218524716	1.7996341614733224
29	-27.821003786723146	129.2460932502123	-3.4225142979405883	-1.6165480720860654	-0.6129070537103567	0.14412485290276159	-0.25785961111294453	1.8639068100973697
30	-27.71997175227322	129.2169402098144	-3.4300538477364557	-1.6551370833036225	-0.5877852523463796	0.12755153272336583	-0.08671236880913878	1.928179458721417
31	-27.616832191099736	129.1863348118345	-3.4368753506716168	-1.6920926740470301	-0.5620833779024919	0.12197829911153726	0.3680966964878699	1.9924521073454642
32	-27.511680736431597	129.1543503632523	-3.443541335828634	-1.7273783736099255	-0.5358267950257458	0.1456368487445747	-0.32656831072784204	2.0567247559695114
33	-27.40467394129145	129.12102066895548	-3.4516835161278547	-1.7609593592669333	-0.5090414157934459	0.12464743845741542	-0.4088750738655236	2.1209974045935587
34	-27.295903852075146	129.0861677201014	-3.4587741700878416	-1.7928024906394902	-0.4817536741410572	0.09836795450372526	-0.356613456692662	2.185270053217606
35	-27.18549070344477	129.04992302410977	-3.4644599002091985	-1.822876342401399	-0.4539904997751023	0.07544746310711091	0.3885578728939985	2.249542701841653
